material,condition,contamination,unit,quantity,broken_percentage,condition_score,contamination_score,has_cracks,structural_compromised,has_rust,has_rot,is_moist,has_hazardous_coating,is_separable,recommended_pathway
Steel,Excellent,None,tonnes,6850.8,3.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Steel,Excellent,None,units,7343.3,1.1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Brick,Severely Damaged,Moderate,units,7138.1,33.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Wood,Severely Damaged,Low,kg,1679.4,25.7,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,RECOVER
Brick,Good,None,units,1377.4,7.6,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Brick,Excellent,None,units,4270.3,1.1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Steel,Good,Low,units,3419.3,23.3,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,REPAIR
Wood,Excellent,Hazardous,units,4612.5,58.9,4.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Concrete,Good,None,cubic metres,1960.8,25.1,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Concrete,Moderate,Low,kg,5389.5,12.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Brick,Good,None,cubic metres,2951.9,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Brick,Damaged,Low,units,7794.6,62.4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Ceramic / Tiles,Good,Low,units,1808.5,21.3,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Wood,Good,High,kg,5379.1,36.7,3.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Gypsum,Moderate,Low,kg,3539.9,57.8,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Gypsum,Moderate,None,kg,722.5,65.1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Glass,Moderate,None,cubic metres,1161.5,53.4,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Mixed Construction Waste,Damaged,Hazardous,tonnes,2936.0,32.8,1.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Ceramic / Tiles,Good,None,units,2846.9,3.4,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Mixed Construction Waste,Good,High,tonnes,389.8,15.5,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Asphalt,Excellent,Hazardous,kg,2519.3,5.2,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Wood,Moderate,Low,cubic metres,4715.7,22.8,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Mixed Construction Waste,Severely Damaged,Moderate,tonnes,1722.1,61.2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Concrete,Good,None,tonnes,4372.5,23.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Concrete,Excellent,High,units,4128.2,34.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Mixed Construction Waste,Severely Damaged,High,cubic metres,2776.5,9.8,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Glass,Excellent,None,units,5156.6,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Plastic,Severely Damaged,Low,cubic metres,4516.9,38.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Ceramic / Tiles,Moderate,High,cubic metres,1992.7,68.2,2.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Brick,Excellent,None,cubic metres,5103.7,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Glass,Severely Damaged,None,units,3480.5,30.7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Steel,Severely Damaged,High,kg,759.0,54.2,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Gypsum,Moderate,Low,kg,931.9,29.6,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Concrete,Good,None,cubic metres,5090.9,7.7,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Glass,Moderate,High,cubic metres,2147.2,25.7,2.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Brick,Good,None,tonnes,1902.3,12.9,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Soil,Severely Damaged,None,tonnes,4903.0,70.7,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,RECYCLE
Ceramic / Tiles,Excellent,None,tonnes,4071.8,0.6,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Mixed Construction Waste,Excellent,High,tonnes,4421.2,72.9,4.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Glass,Excellent,None,tonnes,5762.4,5.1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Brick,Good,None,kg,2254.3,6.2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Glass,Good,None,units,686.3,12.9,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Steel,Excellent,None,cubic metres,7354.2,1.1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Plastic,Damaged,Hazardous,units,1728.0,33.9,1.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Asphalt,Moderate,None,kg,5021.5,67.7,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Glass,Moderate,Low,units,1797.8,10.1,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Gypsum,Moderate,Low,units,3216.0,72.4,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,RECYCLE
Wood,Excellent,High,kg,2143.2,12.8,4.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Ceramic / Tiles,Damaged,Low,units,4513.6,22.5,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Wood,Excellent,High,cubic metres,788.8,89.3,4.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Brick,Excellent,None,kg,4445.3,7.4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Gypsum,Moderate,Moderate,cubic metres,1234.8,24.4,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,RECOVER
Concrete,Excellent,None,cubic metres,7928.3,0.3,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Ceramic / Tiles,Moderate,Low,tonnes,5835.8,10.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Glass,Moderate,None,kg,7039.3,25.2,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Mixed Construction Waste,Excellent,Hazardous,tonnes,515.8,11.2,4.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Mixed Construction Waste,Severely Damaged,High,cubic metres,2296.0,39.6,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Steel,Moderate,Low,kg,5944.4,9.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,REPAIR
Gypsum,Damaged,Low,units,5811.8,53.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,RECOVER
Ceramic / Tiles,Excellent,None,tonnes,7718.4,3.8,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Soil,Moderate,Low,cubic metres,3841.1,69.3,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,RECYCLE
Plastic,Moderate,Moderate,kg,6211.0,72.2,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Glass,Moderate,None,tonnes,3735.5,25.7,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Asphalt,Severely Damaged,Moderate,units,6162.8,20.9,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Wood,Severely Damaged,Moderate,kg,87.1,25.3,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,RECOVER
Wood,Severely Damaged,Low,units,5301.9,74.9,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,RECOVER
Brick,Severely Damaged,Moderate,cubic metres,3360.2,76.9,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Glass,Good,None,kg,1161.2,5.2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Concrete,Severely Damaged,Low,cubic metres,6111.6,25.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Steel,Good,None,units,4404.1,5.1,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,REPAIR
Ceramic / Tiles,Severely Damaged,High,cubic metres,1889.0,19.4,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Wood,Moderate,Moderate,tonnes,6090.1,64.3,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,RECOVER
Soil,Damaged,High,kg,6678.0,81.7,1.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Wood,Damaged,Low,units,5799.5,49.4,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,RECOVER
Asphalt,Severely Damaged,Low,kg,1381.1,36.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Plastic,Severely Damaged,Low,kg,80.5,30.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Brick,Moderate,High,kg,4198.2,6.2,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Wood,Severely Damaged,Moderate,tonnes,610.7,22.3,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,RECOVER
Glass,Moderate,Hazardous,units,348.5,41.9,2.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Wood,Damaged,Low,units,1598.2,18.2,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,REPAIR
Ceramic / Tiles,Excellent,None,cubic metres,7961.4,5.7,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Concrete,Excellent,None,units,727.2,1.2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Gypsum,Moderate,Low,tonnes,7031.5,29.7,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Ceramic / Tiles,Good,None,kg,7610.4,5.1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Ceramic / Tiles,Good,High,units,3342.2,38.4,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Glass,Severely Damaged,High,cubic metres,7390.7,44.7,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Concrete,Good,Low,kg,741.9,14.6,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Ceramic / Tiles,Moderate,Hazardous,tonnes,6116.4,87.1,2.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Gypsum,Severely Damaged,Low,kg,5355.0,21.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Concrete,Good,None,kg,5278.4,6.9,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Asphalt,Severely Damaged,Low,kg,7413.5,56.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Steel,Moderate,None,kg,876.2,5.8,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,REPAIR
Wood,Good,None,tonnes,3939.4,5.8,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Wood,Severely Damaged,Moderate,cubic metres,7150.2,26.6,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,RECOVER
Glass,Excellent,None,kg,4211.7,5.3,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Mixed Construction Waste,Damaged,Low,units,448.1,26.7,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Glass,Good,None,units,5102.9,0.8,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Concrete,Good,None,tonnes,7758.2,2.9,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Brick,Damaged,High,tonnes,7207.5,63.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Ceramic / Tiles,Moderate,High,kg,7385.4,86.7,2.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Concrete,Damaged,Low,cubic metres,3828.1,56.5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Asphalt,Moderate,Low,kg,4986.5,32.7,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Wood,Moderate,None,kg,144.0,25.9,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Gypsum,Severely Damaged,Moderate,cubic metres,7703.0,61.8,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Gypsum,Severely Damaged,Low,cubic metres,6157.3,31.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,RECYCLE
Steel,Good,None,units,3436.7,31.2,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,REPAIR
Glass,Severely Damaged,Low,kg,2856.4,37.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Mixed Construction Waste,Damaged,Low,units,2964.4,44.1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Mixed Construction Waste,Damaged,Low,cubic metres,5152.5,47.1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Steel,Damaged,None,tonnes,6012.0,8.7,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Ceramic / Tiles,Excellent,None,units,6748.1,1.4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Concrete,Excellent,None,units,4619.8,3.1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Brick,Excellent,None,tonnes,5626.9,0.1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Asphalt,Damaged,Moderate,tonnes,7123.4,44.8,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Concrete,Good,None,tonnes,510.4,5.6,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Plastic,Damaged,Moderate,cubic metres,3168.2,30.9,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Steel,Excellent,None,kg,4939.3,5.2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Asphalt,Severely Damaged,Low,kg,5796.1,68.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Plastic,Damaged,Low,cubic metres,1572.3,40.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Gypsum,Damaged,None,units,117.8,63.8,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,RECYCLE
Concrete,Damaged,High,cubic metres,1275.0,57.6,1.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Glass,Severely Damaged,Moderate,units,7786.3,41.8,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Mixed Construction Waste,Moderate,Low,cubic metres,958.2,45.8,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Plastic,Damaged,Moderate,tonnes,1871.3,67.9,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Ceramic / Tiles,Damaged,None,units,7373.5,11.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Plastic,Damaged,Moderate,units,329.3,20.4,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Concrete,Damaged,None,kg,576.7,19.1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Soil,Damaged,Moderate,units,852.3,45.7,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,RECYCLE
Ceramic / Tiles,Moderate,Hazardous,tonnes,2618.6,73.3,2.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Mixed Construction Waste,Severely Damaged,Moderate,tonnes,7060.4,21.3,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Plastic,Moderate,Low,kg,1111.2,45.9,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Brick,Severely Damaged,Moderate,cubic metres,4702.5,49.5,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Concrete,Good,None,units,5153.2,7.1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Glass,Moderate,None,units,2952.4,17.6,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Glass,Good,None,kg,6377.3,1.3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Plastic,Severely Damaged,Hazardous,cubic metres,5537.6,65.7,0.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Ceramic / Tiles,Excellent,None,kg,695.7,6.6,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Concrete,Damaged,None,kg,7596.0,76.3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Concrete,Good,None,cubic metres,7712.4,1.1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Gypsum,Severely Damaged,None,kg,2732.2,75.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Soil,Damaged,Moderate,tonnes,668.6,56.4,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,RECYCLE
Mixed Construction Waste,Good,Hazardous,units,6902.0,59.6,3.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Asphalt,Moderate,High,tonnes,7409.0,37.3,2.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Brick,Good,None,cubic metres,3756.7,6.2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Soil,Moderate,Low,units,990.7,26.6,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Asphalt,Severely Damaged,Moderate,tonnes,7727.2,70.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Plastic,Good,High,units,596.1,15.9,3.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Asphalt,Damaged,Low,kg,7048.3,26.6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Wood,Severely Damaged,Low,kg,6727.8,39.6,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,RECOVER
Glass,Excellent,High,kg,6645.2,11.7,4.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Wood,Moderate,Moderate,tonnes,5210.1,62.6,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,RECOVER
Plastic,Good,High,cubic metres,3123.9,33.4,3.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Steel,Good,Low,kg,3183.6,25.3,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Steel,Good,Hazardous,kg,3621.8,54.3,3.0,4.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Ceramic / Tiles,Excellent,None,tonnes,5498.3,4.6,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Concrete,Good,None,cubic metres,2829.8,1.8,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Asphalt,Damaged,Low,tonnes,6291.9,40.1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Steel,Severely Damaged,Hazardous,tonnes,1755.2,79.4,0.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Glass,Severely Damaged,Low,tonnes,5482.4,34.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Wood,Damaged,None,kg,3032.8,11.3,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Steel,Excellent,None,cubic metres,2156.8,3.6,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Concrete,Damaged,None,cubic metres,2798.7,18.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Brick,Excellent,None,units,3970.3,2.2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Asphalt,Damaged,Low,tonnes,6774.9,29.3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Plastic,Good,Hazardous,kg,1655.9,57.4,3.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Steel,Excellent,None,tonnes,4552.3,1.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Asphalt,Severely Damaged,Hazardous,kg,177.7,21.4,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Asphalt,Damaged,Hazardous,units,183.7,4.5,1.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Plastic,Moderate,High,kg,6452.6,75.6,2.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Plastic,Moderate,Low,kg,3160.8,31.9,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Gypsum,Moderate,Low,units,3277.6,69.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Ceramic / Tiles,Good,None,tonnes,4157.3,6.7,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Glass,Moderate,None,tonnes,733.8,65.8,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Plastic,Damaged,Moderate,cubic metres,439.0,72.2,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Brick,Excellent,None,kg,1996.5,1.2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Wood,Damaged,Hazardous,units,1965.3,1.4,1.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Mixed Construction Waste,Damaged,Hazardous,tonnes,6152.4,28.8,1.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Plastic,Severely Damaged,Moderate,cubic metres,203.1,37.8,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Asphalt,Damaged,High,tonnes,7872.2,68.7,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Steel,Damaged,Hazardous,kg,3649.8,27.1,1.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Brick,Severely Damaged,High,units,1362.9,72.6,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Wood,Severely Damaged,Moderate,cubic metres,1760.9,43.7,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,RECOVER
Wood,Moderate,High,units,6805.6,48.7,2.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Ceramic / Tiles,Excellent,None,tonnes,1358.1,4.6,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Ceramic / Tiles,Good,None,kg,1639.2,16.4,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Brick,Excellent,None,cubic metres,259.0,1.9,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Wood,Damaged,Hazardous,kg,5821.6,80.2,1.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Concrete,Good,None,kg,5812.5,3.3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Wood,Excellent,Hazardous,kg,6214.1,47.5,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Ceramic / Tiles,Excellent,High,tonnes,6981.1,4.9,4.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Glass,Excellent,High,kg,4448.3,51.7,4.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
